id;proveedor;servicio;estado;coste
1;Credit Card Account;navigate;ENCURSO;80313
2;Point Orchestrator;Solomon Islands Licensed;RECHAZADA;85835
3;neural-net red;Buckinghamshire Future-proofed deposit;APROBADA;39757
4;Cambridgeshire hacking;bricks-and-clicks Concrete Global;APROBADA;98216
5;Borders content-based;Tasty Customer Human;RECHAZADA;70035
6;programming SCSI drive;invoice Unbranded Cheese;APROBADA;94013
7;Supervisor clear-thinking;Latvia;ENCURSO;1807
8;Bedfordshire;navigate;APROBADA;30806
9;Benin Berkshire;dedicated Persevering;NUEVA;43439
10;dot-com payment Libyan Dinar;white sensor local;APROBADA;4360
