id;codigo;tipo;asunto;descripcion;estado;propietario
1;mobile Fish;PROYECTO;Trace;Savings Account alarm;NUEVA;red Chips Soap
2;Home Loan Account;OTRO;Namibia;Steel zero administration;CERRADA;grey Cambridgeshire
3;Canyon HDD;OTRO;envisioneer Music Public-key;infomediaries;CERRADA;Games Regional Digitized
4;copy convergence;PROYECTO;Industrial;connect Markets Chief;NUEVA;sky blue Tasty Plastic Pizza
5;compress South Georgia and the South Sandwich Islands;PROYECTO;bifurcated scalable;Small;APROBADA;overriding
6;monitor 1080p Checking Account;EVOLUTIVO;Highway Ergonomic;moratorium moratorium;RECHAZADA;Frozen bus
7;hard drive Robust Networked;EVOLUTIVO;Small partnerships;Outdoors;RECHAZADA;Corporate Phased relationships
8;white Brand Money Market Account;OTRO;Refined Squares;maroon;ENCURSO;support Gorgeous
9;withdrawal;PROYECTO;ability Hat Iraq;magenta Concrete;CERRADA;Mauritania
10;facilitate Tasty Concrete Chips Exclusive;OTRO;mission-critical;Berkshire Small Plastic Pants Investor;CERRADA;Berkshire Designer
